"BehaviorSpace results (NetLogo 6.0.2)"
"ESPA Farmer Adaptation Model.nlogo"
"MagicValleySims-Thesis"
"04/11/2019 13:32:01:870 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","308","0","216"
"[run number]","PerceptionThreshold","BeliefInSocialSanctionsAverage","FixRandomSeed?","PrintReporters?","Simulate-ESPA_CAMP","WriteDetailedCropBudgets?","IAC-PhysArous-Threshold","F-Ratio-V","RandomStartingMoney","F-Ratio-W","WriteOutputs?","UseRandomRotations?","WaterRightDistribution","Run-Number","RandomSeed","Animate?","TypicalAmountFarmerIsWillingToLosePerField","ROISeasonTolerance","Social-Connections-per-Farmer","InputIntensityDistribution","Lognormal-Sigma","IACSocialScalar","IndividualFieldCalcs?","Tracers?","BeliefInESPASD","BeliefInSocialSanctionsSD","NumberOfSeasons","IACHabitScalar","AcreageDistributionType","BeliefInESPAAverage","CustomFarmerAccess","PopulateMethod","BeliefsInEconomicSanctionsSD","water-preference","OffsetIrrigationWithSkill?","WorldFileName","ChargeForOverdraw","Consultants-per-Farmer","BeliefInEconomicSanctionsAverage","TPBFinancialScalar","Use-Aqua-Crop","Decision-Making","GWD","PercVarWillingnessToLose","WaterRightSeniorityDistribution","InterfaceVariableFileName","[step]","count farmers","count patches with [owner != 0]","count farmers with [farmsize < 50]","count farmers with [farmsize > 50 AND farmsize < 100]","count farmers with [farmsize > 100 AND farmsize < 500]","count farmers with [farmsize > 500 AND farmsize < 1000]","count farmers with [farmsize > 1000 AND farmsize < 10000]","count farmers with [rotation = ""PotatoBeetGrainGrain""]","count farmers with [rotation = ""PotatoGrainBeetGrain""]","count farmers with [rotation = ""HayGrain""]","count farmers with [rotation = ""HayGrainPotatoGrain""]","count farmers with [rotation = ""PotatoGrainGrain""]","count farmers with [rotation = ""HayBarleyPotato""]","count farmers with [rotation = ""HayGrainGrainPotato""]","count farmers with [rotation = ""GrainPotatoBeetsHay""]","count farmers with [rotation = ""Landlord""]","NumberOfFarmersWithChangedWM"
"4","0.5","0.5","true","false","true","true","2.5","0","false","0","true","false","""Normal""","0","0","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""Magic Valley GWD""","5","""Uniform""","""/data/InterfaceInputs4.txt""","3","529","16792","286","61","128","7","47","87","83","79","0","0","197","0","83","0","[144 8 6 0 0 0 0 0 0 0 0 20 79 0 0 0 0 0 0 14]"
"3","0.5","0.5","true","false","true","true","2.5","0","false","0","true","false","""Normal""","0","0","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""Magic Valley GWD""","5","""Uniform""","""/data/InterfaceInputs3.txt""","3","529","16785","291","67","116","5","50","6","99","122","161","49","0","19","73","0","[113 19 13 0 0 0 0 0 6 0 0 233 0 0 0 0 0 0 0 0]"
"2","0.5","0.5","true","false","true","true","2.5","0","false","0","true","false","""Normal""","0","0","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""Magic Valley GWD""","5","""Uniform""","""/data/InterfaceInputs2.txt""","3","529","16800","290","65","119","11","44","45","95","22","49","32","113","47","126","0","[134 0 11 0 0 4 0 0 0 0 0 31 40 0 0 10 9 0 0 0]"
"4","0.5","0.5","true","false","true","true","2.5","0","false","0","true","false","""Normal""","0","0","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""Magic Valley GWD""","5","""Uniform""","""/data/InterfaceInputs4.txt""","4","529","16792","286","61","128","7","47","87","83","79","0","0","197","0","83","0","[144 8 6 0 0 0 0 0 0 0 0 20 79 0 0 0 0 0 0 14]"
"2","0.5","0.5","true","false","true","true","2.5","0","false","0","true","false","""Normal""","0","0","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""Magic Valley GWD""","5","""Uniform""","""/data/InterfaceInputs2.txt""","4","529","16800","290","65","119","11","44","45","95","22","49","32","113","47","126","0","[134 0 11 0 0 4 0 0 0 0 0 31 40 0 0 10 9 0 0 0]"
"3","0.5","0.5","true","false","true","true","2.5","0","false","0","true","false","""Normal""","0","0","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""Magic Valley GWD""","5","""Uniform""","""/data/InterfaceInputs3.txt""","4","529","16785","291","67","116","5","50","6","99","122","161","49","0","19","73","0","[113 19 13 0 0 0 0 0 6 0 0 233 0 0 0 0 0 0 0 0]"
"4","0.5","0.5","true","false","true","true","2.5","0","false","0","true","false","""Normal""","0","0","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""Magic Valley GWD""","5","""Uniform""","""/data/InterfaceInputs4.txt""","5","529","16792","286","61","128","7","47","87","83","79","0","0","197","0","83","0","[144 8 6 0 0 0 0 0 0 0 0 20 79 0 0 0 0 0 0 14]"
"2","0.5","0.5","true","false","true","true","2.5","0","false","0","true","false","""Normal""","0","0","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""Magic Valley GWD""","5","""Uniform""","""/data/InterfaceInputs2.txt""","5","529","16800","290","65","119","11","44","45","95","22","49","32","113","47","126","0","[134 0 11 0 0 4 0 0 0 0 0 31 40 0 0 10 9 0 0 0]"
"3","0.5","0.5","true","false","true","true","2.5","0","false","0","true","false","""Normal""","0","0","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""Magic Valley GWD""","5","""Uniform""","""/data/InterfaceInputs3.txt""","5","529","16785","291","67","116","5","50","6","99","122","161","49","0","19","73","0","[113 19 13 0 0 0 0 0 6 0 0 233 0 0 0 0 0 0 0 0]"
"4","0.5","0.5","true","false","true","true","2.5","0","false","0","true","false","""Normal""","0","0","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""Magic Valley GWD""","5","""Uniform""","""/data/InterfaceInputs4.txt""","6","529","16792","286","61","128","7","47","87","83","79","0","0","197","0","83","0","[144 8 6 0 0 0 0 0 0 0 0 20 79 0 0 0 0 0 0 14]"
"2","0.5","0.5","true","false","true","true","2.5","0","false","0","true","false","""Normal""","0","0","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""Magic Valley GWD""","5","""Uniform""","""/data/InterfaceInputs2.txt""","6","529","16800","290","65","119","11","44","45","95","22","49","32","113","47","126","0","[134 0 11 0 0 4 0 0 0 0 0 31 40 0 0 10 9 0 0 0]"
"3","0.5","0.5","true","false","true","true","2.5","0","false","0","true","false","""Normal""","0","0","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""Magic Valley GWD""","5","""Uniform""","""/data/InterfaceInputs3.txt""","6","529","16785","291","67","116","5","50","6","99","122","161","49","0","19","73","0","[113 19 13 0 0 0 0 0 6 0 0 233 0 0 0 0 0 0 0 0]"
"4","0.5","0.5","true","false","true","true","2.5","0","false","0","true","false","""Normal""","0","0","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""Magic Valley GWD""","5","""Uniform""","""/data/InterfaceInputs4.txt""","7","529","16792","286","61","128","7","47","87","83","79","0","0","197","0","83","0","[144 8 6 0 0 0 0 0 0 0 0 20 79 0 0 0 0 0 0 14]"
"2","0.5","0.5","true","false","true","true","2.5","0","false","0","true","false","""Normal""","0","0","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""Magic Valley GWD""","5","""Uniform""","""/data/InterfaceInputs2.txt""","7","529","16800","290","65","119","11","44","45","95","22","49","32","113","47","126","0","[134 0 11 0 0 4 0 0 0 0 0 31 40 0 0 10 9 0 0 0]"
"3","0.5","0.5","true","false","true","true","2.5","0","false","0","true","false","""Normal""","0","0","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""Magic Valley GWD""","5","""Uniform""","""/data/InterfaceInputs3.txt""","7","529","16785","291","67","116","5","50","6","99","122","161","49","0","19","73","0","[113 19 13 0 0 0 0 0 6 0 0 233 0 0 0 0 0 0 0 0]"
"4","0.5","0.5","true","false","true","true","2.5","0","false","0","true","false","""Normal""","0","0","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""Magic Valley GWD""","5","""Uniform""","""/data/InterfaceInputs4.txt""","8","529","16792","286","61","128","7","47","87","83","79","0","0","197","0","83","0","[144 8 6 0 0 0 0 0 0 0 0 20 79 0 0 0 0 0 0 14]"
"1","0.5","0.5","true","false","true","true","2.5","0","false","0","true","false","""Normal""","0","0","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""Magic Valley GWD""","5","""Uniform""","""/data/InterfaceInputs1.txt""","1","529","16789","303","51","119","12","44","90","8","123","129","73","0","84","22","0","[121 3 5 0 0 0 0 0 0 0 0 146 0 0 0 0 0 0 0 0]"
"2","0.5","0.5","true","false","true","true","2.5","0","false","0","true","false","""Normal""","0","0","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""Magic Valley GWD""","5","""Uniform""","""/data/InterfaceInputs2.txt""","8","529","16800","290","65","119","11","44","45","95","22","49","32","113","47","126","0","[134 0 11 0 0 4 0 0 0 0 0 31 40 0 0 10 9 0 0 0]"
"3","0.5","0.5","true","false","true","true","2.5","0","false","0","true","false","""Normal""","0","0","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""Magic Valley GWD""","5","""Uniform""","""/data/InterfaceInputs3.txt""","8","529","16785","291","67","116","5","50","6","99","122","161","49","0","19","73","0","[113 19 13 0 0 0 0 0 6 0 0 233 0 0 0 0 0 0 0 0]"
"4","0.5","0.5","true","false","true","true","2.5","0","false","0","true","false","""Normal""","0","0","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""Magic Valley GWD""","5","""Uniform""","""/data/InterfaceInputs4.txt""","9","529","16792","286","61","128","7","47","87","83","79","0","0","197","0","83","0","[144 8 6 0 0 0 0 0 0 0 0 20 79 0 0 0 0 0 0 14]"
"1","0.5","0.5","true","false","true","true","2.5","0","false","0","true","false","""Normal""","0","0","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""Magic Valley GWD""","5","""Uniform""","""/data/InterfaceInputs1.txt""","2","529","16789","303","51","119","12","44","90","8","123","129","73","0","84","22","0","[121 3 5 0 0 0 0 0 0 0 0 146 0 0 0 0 0 0 0 0]"
"2","0.5","0.5","true","false","true","true","2.5","0","false","0","true","false","""Normal""","0","0","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""Magic Valley GWD""","5","""Uniform""","""/data/InterfaceInputs2.txt""","9","529","16800","290","65","119","11","44","45","95","22","49","32","113","47","126","0","[134 0 11 0 0 4 0 0 0 0 0 31 40 0 0 10 9 0 0 0]"
"3","0.5","0.5","true","false","true","true","2.5","0","false","0","true","false","""Normal""","0","0","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""Magic Valley GWD""","5","""Uniform""","""/data/InterfaceInputs3.txt""","9","529","16785","291","67","116","5","50","6","99","122","161","49","0","19","73","0","[113 19 13 0 0 0 0 0 6 0 0 233 0 0 0 0 0 0 0 0]"
"4","0.5","0.5","true","false","true","true","2.5","0","false","0","true","false","""Normal""","0","0","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""Magic Valley GWD""","5","""Uniform""","""/data/InterfaceInputs4.txt""","10","529","16792","286","61","128","7","47","87","83","79","0","0","197","0","83","0","[144 8 6 0 0 0 0 0 0 0 0 20 79 0 0 0 0 0 0 14]"
"2","0.5","0.5","true","false","true","true","2.5","0","false","0","true","false","""Normal""","0","0","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""Magic Valley GWD""","5","""Uniform""","""/data/InterfaceInputs2.txt""","10","529","16800","290","65","119","11","44","45","95","22","49","32","113","47","126","0","[134 0 11 0 0 4 0 0 0 0 0 31 40 0 0 10 9 0 0 0]"
"1","0.5","0.5","true","false","true","true","2.5","0","false","0","true","false","""Normal""","0","0","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""Magic Valley GWD""","5","""Uniform""","""/data/InterfaceInputs1.txt""","3","529","16789","303","51","119","12","44","90","8","123","129","73","0","84","22","0","[121 3 5 0 0 0 0 0 0 0 0 146 0 0 0 0 0 0 0 0]"
"3","0.5","0.5","true","false","true","true","2.5","0","false","0","true","false","""Normal""","0","0","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""Magic Valley GWD""","5","""Uniform""","""/data/InterfaceInputs3.txt""","10","529","16785","291","67","116","5","50","6","99","122","161","49","0","19","73","0","[113 19 13 0 0 0 0 0 6 0 0 233 0 0 0 0 0 0 0 0]"
"4","0.5","0.5","true","false","true","true","2.5","0","false","0","true","false","""Normal""","0","0","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""Magic Valley GWD""","5","""Uniform""","""/data/InterfaceInputs4.txt""","11","529","16792","286","61","128","7","47","87","83","79","0","0","197","0","83","0","[144 8 6 0 0 0 0 0 0 0 0 20 79 0 0 0 0 0 0 14]"
"2","0.5","0.5","true","false","true","true","2.5","0","false","0","true","false","""Normal""","0","0","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""Magic Valley GWD""","5","""Uniform""","""/data/InterfaceInputs2.txt""","11","529","16800","290","65","119","11","44","45","95","22","49","32","113","47","126","0","[134 0 11 0 0 4 0 0 0 0 0 31 40 0 0 10 9 0 0 0]"
"1","0.5","0.5","true","false","true","true","2.5","0","false","0","true","false","""Normal""","0","0","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""Magic Valley GWD""","5","""Uniform""","""/data/InterfaceInputs1.txt""","4","529","16789","303","51","119","12","44","90","8","123","129","73","0","84","22","0","[121 3 5 0 0 0 0 0 0 0 0 146 0 0 0 0 0 0 0 0]"
"3","0.5","0.5","true","false","true","true","2.5","0","false","0","true","false","""Normal""","0","0","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""Magic Valley GWD""","5","""Uniform""","""/data/InterfaceInputs3.txt""","11","529","16785","291","67","116","5","50","6","99","122","161","49","0","19","73","0","[113 19 13 0 0 0 0 0 6 0 0 233 0 0 0 0 0 0 0 0]"
"4","0.5","0.5","true","false","true","true","2.5","0","false","0","true","false","""Normal""","0","0","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""Magic Valley GWD""","5","""Uniform""","""/data/InterfaceInputs4.txt""","12","529","16792","286","61","128","7","47","87","83","79","0","0","197","0","83","0","[144 8 6 0 0 0 0 0 0 0 0 20 79 0 0 0 0 0 0 14]"
"2","0.5","0.5","true","false","true","true","2.5","0","false","0","true","false","""Normal""","0","0","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""Magic Valley GWD""","5","""Uniform""","""/data/InterfaceInputs2.txt""","12","529","16800","290","65","119","11","44","45","95","22","49","32","113","47","126","0","[134 0 11 0 0 4 0 0 0 0 0 31 40 0 0 10 9 0 0 0]"
"1","0.5","0.5","true","false","true","true","2.5","0","false","0","true","false","""Normal""","0","0","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""Magic Valley GWD""","5","""Uniform""","""/data/InterfaceInputs1.txt""","5","529","16789","303","51","119","12","44","90","8","123","129","73","0","84","22","0","[121 3 5 0 0 0 0 0 0 0 0 146 0 0 0 0 0 0 0 0]"
"3","0.5","0.5","true","false","true","true","2.5","0","false","0","true","false","""Normal""","0","0","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""Magic Valley GWD""","5","""Uniform""","""/data/InterfaceInputs3.txt""","12","529","16785","291","67","116","5","50","6","99","122","161","49","0","19","73","0","[113 19 13 0 0 0 0 0 6 0 0 233 0 0 0 0 0 0 0 0]"
"4","0.5","0.5","true","false","true","true","2.5","0","false","0","true","false","""Normal""","0","0","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""Magic Valley GWD""","5","""Uniform""","""/data/InterfaceInputs4.txt""","13","529","16792","286","61","128","7","47","87","83","79","0","0","197","0","83","0","[144 8 6 0 0 0 0 0 0 0 0 20 79 0 0 0 0 0 0 14]"
"2","0.5","0.5","true","false","true","true","2.5","0","false","0","true","false","""Normal""","0","0","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""Magic Valley GWD""","5","""Uniform""","""/data/InterfaceInputs2.txt""","13","529","16800","290","65","119","11","44","45","95","22","49","32","113","47","126","0","[134 0 11 0 0 4 0 0 0 0 0 31 40 0 0 10 9 0 0 0]"
"1","0.5","0.5","true","false","true","true","2.5","0","false","0","true","false","""Normal""","0","0","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""Magic Valley GWD""","5","""Uniform""","""/data/InterfaceInputs1.txt""","6","529","16789","303","51","119","12","44","90","8","123","129","73","0","84","22","0","[121 3 5 0 0 0 0 0 0 0 0 146 0 0 0 0 0 0 0 0]"
"3","0.5","0.5","true","false","true","true","2.5","0","false","0","true","false","""Normal""","0","0","false","2500","5","3","""Random""","0","1","true","false","0.1","0.1","0","1","""Categorical""","0.5","100","""Random""","0.1","100","false","""0""","100","2","0.5","1","false","""IAC Framework""","""Magic Valley GWD""","5","""Uniform""","""/data/InterfaceInputs3.txt""","13","529","16785","291","67","116","5","50","6","99","122","161","49","0","19","73","0","[113 19 13 0 0 0 0 0 6 0 0 233 0 0 0 0 0 0 0 0]"
